DISTRICT_ID,DISTRICT_TITLE,DIVISION_ID
110,BANDARBAN,2
115,BRAHMANBARIA,2
120,CHANDPUR,2
125,CHATTOGRAM,2
130,RANGAMATI,2
135,CUMILLA,2
140,COX'S BAZAR,2
145,FENI,2
160,KHAGRACHHARI,2
165,LAKSHMIPUR,2
180,NOAKHALI,2
210,DHAKA,1
215,FARIDPUR,1
220,GAZIPUR,1
225,GOPALGANJ,1
230,JAMALPUR,1
235,KISHOREGANJ,1
240,MADARIPUR,1
245,MANIKGANJ,1
250,MUNSHIGANJ,1
255,MYMENSINGH,1
260,NARAYANGANJ,1
265,NARSINGDI,1
270,NETRAKONA,1
275,RAJBARI,1
280,SHARIATPUR,1
285,SHERPUR,1
290,TANGAIL,1
310,BAGERHAT,4
330,CHUADANGA,4
335,JASHORE,4
345,JINAIDAHA,4
350,KHULNA,4
355,KUSTIA,4
360,MAGURA,4
365,MEHERPUR,4
370,NARAIL,4
385,SATKHIRA,4
410,BOGURA,3
415,DINAJPUR,7
420,GAIBANDHA,7
425,JOYPURHAT,3
430,KURIGRAM,7
435,LALMONIRHAT,7
440,NATORE,3
445,CHAPAINAWABGANJ,3
450,NAOGAON,3
455,NILPHAMARI,7
460,PABNA,3
465,PANCHAGARH,7
470,RAJSHAHI,3
475,RANGPUR,7
480,SIRAJGANJ,3
485,THAKURGAON,7
510,BARGUNA,5
515,BARISHAL,5
520,BHOLA,5
525,JHALOKATHI,5
530,PATUAKHALI,5
535,PIROJPUR,5
650,HOBIGANJ,6
675,MOULVIBAZAR,6
694,SUNAMGANJ,6
695,SYLHET,6
696,OTHERS,
100,UNKNOWN,
