ID,PARENT_ID,GROUP_ID,ECOCODE_LEVEL,ECOCODE,ECODESCRIPTION,ISSHORTLISTED,ELIGIBLE_OWNER,SHOW_IN_REPORT
1,0,,0,,ECONOMIC PURPOSES,,,N
2,1,,1,,"Agriculture, Fishing and Forestry",,,Y
3,1,,1,,Industry,,,Y
4,1,,1,,Construction,,,Y
5,1,,1,,Transport,,,Y
6,1,,1,,Trade & Commerce,,,Y
7,1,,1,,Other Institutional Loan,,,Y
8,1,,1,,Consumer Finance,,,Y
10,2,,2,,Agriculture,,,N
11,10,,3,,Cultivation,,,N
12,11,,4,1101,"FOOD CROPS (PADDY, WHEAT, POTATO, MAIZE ETC.)",TRUE,,N
13,11,,4,1102,"CASH CROPS (JUTE, COTTON, TOBACCO, SUGARCANE etc.)",TRUE,,N
14,11,,4,1103,"LENTILS (MUG, MASUR, KALAI ETC)",TRUE,,N
15,10,,3,,Plantation,,,N
16,15,,4,1121,Tea,TRUE,,N
20,2,,2,,Fishing,,,N
22,6,,2,,"Wholesale and Retail Trade (CC, OD etc.)",,,Y
23,22,,3,8111,Wholesale Trading,TRUE,,N
24,22,,3,8112,Retail Trading,TRUE,,N
25,22,,3,8120,Other Commercial lending,TRUE,,N
26,1,,1,,Miscellaneous,,,Y
27,26,,2,9200,Private Welfare and Development Activities,TRUE,,N
28,11,,4,1104,"Oil Seeds (Sayabeen, Mastered oil, Peanut etc.)",TRUE,,N
29,11,,4,1105,"Spices(Onion, Garlic, Zinger etc)",TRUE,,N
30,11,,4,1107,Vegetables,TRUE,,N
31,10,,3,,Agricultural Machineries and Implements,,,N
32,11,,4,1117,Flowers,TRUE,,N
33,15,,4,1122,Rubber,TRUE,,N
34,15,,4,1123,Sericulture,TRUE,,N
35,15,,4,1124,"Horticulture (Mango, Banana, Pine apple, Coconut etc.)",TRUE,,N
36,15,,4,1125,Apiculture,TRUE,,N
37,15,,4,1126,Tissue Culture,TRUE,,N
38,15,,4,1129,Others  Plantations,TRUE,,N
39,31,,4,1131,Shallow/Deep Tube Well (Including Solar Energy Pump),TRUE,,N
40,31,,4,1132,Low Lift Pumps/Other Pumps,TRUE,,N
41,31,,4,1133,Tractors/Power Tillers,TRUE,,N
42,31,,4,1134,Ploughing Cattle,TRUE,,N
43,31,,4,1135,Bio-gas Plan,TRUE,,N
44,31,,4,1139,Others (Manual Tube well/ Bullock Carts etc.),TRUE,,N
45,10,,3,1140,Fertilizers and Pesticides Loans for Farmers,TRUE,,N
46,10,,3,,Livestock,,,N
47,46,,3,1151,Dairy Farming,TRUE,,N
48,46,,3,1152,Poultry Farming,,,N
49,46,,3,1153,Purchase of Cattle/Goat,,,N
50,46,,3,1159,Other Livestock,,,N
51,10,,3,1160,Vegetables/Fruits Preservation in Cold Storage,,,N
52,10,,3,1170,Agriculture Loan Disbursed through NGOs,,,N
53,20,,3,1210,Inland Fishing (Other than Shrimp Culture) including Pond Fishing,,,N
